"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaiah Burse","DEN","3","WR","1","0","0","0","0","0","0","1","0","21","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Michael Campanaro","BLT","4","WR","9","7","0","102","0","1","0","0","77.8","9.89","11.33","14.57","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.2","0.36","3.31"
"Quincy Enunwa","NYJ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Devin Street","DAL","16","WR","7","2","0","18","0","0","0","0","28.6","17.43","2.57","9","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.8","0.03","1.9"
"De'Anthony Thomas","KC","12","WR","30","24","0","173","0","1","0","2","80","-0.17","5.77","7.21","8.33","","","","","","","","","","","","13","0","96","0","0","0","7.38","1.69","3","0.23","0","","","","","","","","","0","0","56.9","0.3","1.54"
"Kevin Norwood","SEA","9","WR","10","9","0","102","0","0","0","0","90","10.6","10.2","11.33","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19.2","0.11","2.13"
"Martavis Bryant","PIT","10","WR","48","26","5","549","2","8","2","4","54.2","19.33","11.44","21.12","7.38","","","","","","","","","","","","3","0","12","0","0","0","4","1.33","1","0.33","0","","","","","","","","","0","0","130.1","0.44","4.49"
"John Brown","ARZ","16","WR","94","48","2","696","1","5","2","3","51.1","15.62","7.4","14.5","3.73","","","","","","","","","","","","3","0","-6","0","0","0","-2","0","0","0","0","","","","","","","","","0","0","147","0.22","2.88"
"Josh Huff","PHI","12","WR","17","8","1","98","0","0","0","4","47.1","9.06","5.76","12.25","10","","","","","","","","","","","","1","0","7","0","0","0","7","2","1","1","1","","","","","","","","","0","0","18.5","0.09","2.06"
"Cody Latimer","DEN","6","WR","4","2","0","23","0","0","0","0","50","11.25","5.75","11.5","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.3","0.12","2.15"
"Davante Adams","GB","16","WR","62","38","1","446","1","3","0","4","61.3","10.02","7.19","11.74","4.87","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","100.6","0.14","2.65"
"Marqise Lee","JAX","13","WR","61","37","0","422","0","1","0","6","60.7","8.16","6.92","11.41","4.76","","","","","","","","","","","","3","0","9","0","0","0","3","2.33","1","0.33","0","","","","","","","","","0","0","86.1","0.17","2.15"
"Brandin Cooks","NO","10","WR","65","53","2","550","0","3","1","2","81.5","8.48","8.46","10.38","3.23","","","","","","","","","","","","7","0","73","0","1","0","10.43","0.57","0","0","0","","","","","","","","","0","0","139.3","0.26","2.32"
"Odell Beckham Jr.","NYG","12","WR","129","91","6","1305","7","12","3","2","70.5","12.3","10.12","14.34","5.29","","","","","","","","","","","","7","0","35","0","0","0","5","1.57","2","0.29","0","","","","","","","","","0","0","297","0.38","3.03"
"Mike Evans","TB","15","WR","116","68","4","1051","3","12","1","4","58.6","15.78","9.06","15.46","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","245.1","0.32","3.6"
"Sammy Watkins","BUF","16","WR","124","65","4","982","4","6","2","5","52.4","13.45","7.92","15.11","5.25","","","","","","","","","","","","2","0","8","0","0","0","4","1.5","0","0","1","","","","","","","","","0","0","200","0.19","2.99"
"Rodney Smith","CLV","3","WR","1","0","0","0","0","0","0","0","0","21","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marquess Wilson","CHI","7","WR","32","17","0","140","0","1","0","3","53.1","10.59","4.38","8.24","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","37","0.1","2.18"
