"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Vyncint Smith","HST","6","WR","9","5","0","91","0","1","0","1","55.6","23.33","10.11","18.2","0.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","20.1","0.11","4.02"
"Keelan Cole","JAX","16","WR","64","38","0","491","1","1","0","6","59.4","10.19","7.67","12.92","3.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","93.1","0.14","2.45"
"Derrick Willies","CLV","4","WR","5","3","0","61","0","0","0","0","60","11.8","12.2","20.33","11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","9.1","0.3","3.03"
"D.J. Moore","CAR","16","WR","76","54","3","781","1","2","1","4","71.1","9.62","10.28","14.46","7.91","","","","","","","","","","","","13","0","172","0","0","0","13.23","7.77","6","0.46","3","","","","","","","","","0","0","161.3","0.22","2.41"
"Calvin Ridley","ATL","16","WR","91","64","4","821","1","10","3","8","70.3","10.38","9.02","12.83","5.73","","","","","","","","","","","","5","0","24","0","0","0","4.8","3","1","0.2","2","","","","","","","","","0","0","208.5","0.32","3.02"
"Robert Foster","BUF","13","WR","44","27","4","541","3","3","2","1","61.4","20.95","12.3","20.04","5.93","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","99.1","0.22","3.67"
"Auden Tate","CIN","6","WR","12","4","0","35","0","0","0","1","33.3","10.83","2.92","8.75","0.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.5","0.1","1.88"
"Courtland Sutton","DEN","16","WR","79","42","3","704","0","4","0","9","53.2","15.57","8.91","16.76","3.98","","","","","","","","","","","","1","0","-1","0","0","0","-1","2","0","0","0","","","","","","","","","0","1","136.3","0.17","3.17"
"Allen Lazard","GB","1","WR","1","1","0","7","0","0","0","0","100","5","7","7","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.7","1.7","1.7"
"Dante Pettis","SF","11","WR","40","27","1","467","1","5","1","1","67.5","12.13","11.68","17.3","7.93","","","","","","","","","","","","1","0","-2","0","0","0","-2","1","0","0","0","","","","","","","","","0","0","103.5","0.23","3.7"
"Antonio Callaway","CLV","16","WR","78","43","3","586","0","5","1","6","55.1","14.51","7.51","13.63","5.42","","","","","","","","","","","","2","0","7","0","0","0","3.5","0.5","0","0","1","","","","","","","","","1","3","132.3","0.17","2.94"
"Malik Turner","SEA","6","WR","2","2","0","20","0","0","0","0","100","3","10","10","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4","0.1","2"
"Trent Sherfield","ARZ","9","WR","27","19","0","210","0","1","0","1","70.4","11","7.78","11.05","1.95","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","46","0.13","2.42"
"James Washington","PIT","14","WR","36","16","1","217","0","1","0","1","44.4","17.33","6.03","13.56","3.44","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","43.7","0.08","2.73"
"Christian Kirk","ARZ","12","WR","65","43","2","590","0","3","2","3","66.2","10.03","9.08","13.72","5.33","","","","","","","","","","","","3","0","35","0","0","0","11.67","1","0","0","0","","","","","","","","","0","1","123.5","0.23","2.68"
"Russell Gage","ATL","10","WR","10","6","0","63","0","0","0","2","60","10.2","6.3","10.5","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.3","0.21","2.05"
"Chris Lacy","DET","1","WR","1","0","0","0","0","0","0","0","0","10","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Richie James Jr.","SF","11","WR","13","9","1","130","0","1","0","1","69.2","4.85","10","14.44","11.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28","0.15","3.11"
"KhaDarel Hodge","LA","13","WR","3","2","0","17","0","0","0","0","66.7","7.67","5.67","8.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.04","1.85"
"Michael Gallup","DAL","16","WR","66","33","2","507","0","2","1","3","50","14.38","7.68","15.36","5.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","95.7","0.13","2.9"
"Marcell Ateman","OAK","7","WR","30","15","0","154","0","1","0","2","50","11.97","5.13","10.27","2.27","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","36.4","0.1","2.43"
"Victor Bolden Jr.","BUF","4","WR","4","1","0","10","0","0","0","0","25","12.75","2.5","10","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.03","2"
"Keon Hatcher","OAK","2","WR","2","1","0","8","0","0","0","0","50","7","4","8","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.8","0.3","1.8"
"Bobo Wilson","TB","5","WR","5","4","0","52","0","0","0","0","80","10.8","10.4","13","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.2","0.13","2.3"
"Malachi Dupre","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Noah Brown","DAL","8","WR","8","5","0","54","0","0","0","0","62.5","10.25","6.75","10.8","4.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.4","0.1","2.08"
"David Moore","SEA","16","WR","50","26","2","445","1","5","0","2","52","16.88","8.9","17.12","3.42","","","","","","","","","","","","1","0","5","0","0","0","5","4","2","2","2","","","","","","","","","0","0","101","0.16","3.74"
"Josh Malone","CIN","9","WR","4","1","0","12","0","0","0","1","25","9.5","3","12","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.2","0.03","2.2"
"Chad Williams","ARZ","10","WR","42","17","0","171","0","1","0","3","40.5","13.64","4.07","10.06","1.06","","","","","","","","","","","","1","0","9","0","0","0","9","9","0","0","0","","","","","","","","","0","0","41","0.1","2.28"
"Taywan Taylor","TEN","13","WR","55","37","2","466","1","1","0","5","67.3","13.58","8.47","12.59","4.73","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","1","89.6","0.2","2.42"
"Zay Jones","BUF","16","WR","99","56","1","652","0","7","0","3","56.6","13.11","6.59","11.64","2.32","","","","","","","","","","","","1","0","0","0","0","0","0","4","0","0","1","","","","","","","","","1","1","163.2","0.17","2.86"
"Jaydon Mickens","JAX","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Max McCaffrey","SF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Johnny Holton","OAK","1","WR","1","0","0","0","0","0","0","0","0","40","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Geronimo Allison","GB","5","WR","28","20","1","303","0","2","1","3","71.4","13.32","10.82","15.15","5.65","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","62.3","0.26","3.11"
"Alonzo Russell","NYG","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Maurice Harris","WAS","12","WR","44","28","1","304","1","0","0","1","63.6","11.09","6.91","10.86","3.18","","","","","","","","","","","","2","0","10","0","0","0","5","1","0","0","0","","","","","","","","","0","0","59.4","0.13","1.98"
"Mose Frazier","CAR","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jakeem Grant","MIA","10","WR","31","21","1","268","0","2","1","1","67.7","8.81","8.65","12.76","6.76","","","","","","","","","","","","1","0","5","0","0","0","5","1","0","0","0","","","","","","","","","0","0","60.3","0.21","2.74"
"Rashard Higgins","CLV","13","WR","51","39","1","572","0","4","0","3","76.5","11.98","11.22","14.67","3.9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","120.2","0.25","3.08"
"Michael Thomas","NO","16","WR","146","125","2","1405","4","9","1","3","85.6","7.93","9.62","11.24","4.02","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","1","319.5","0.34","2.56"
"Josh Doctson","WAS","15","WR","75","44","0","532","0","2","0","3","58.7","15.37","7.09","12.09","2.89","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","109.2","0.13","2.48"
"Will Fuller V","HST","7","WR","42","32","1","503","3","4","1","0","76.2","14.95","11.98","15.72","5.16","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","106.3","0.28","3.32"
"Corey Coleman","NYG","8","WR","8","5","0","71","0","0","0","1","62.5","12.75","8.88","14.2","2","","","","","","","","","","","","1","0","5","0","0","0","5","2","0","0","0","","","","","","","","","0","0","12.6","0.1","2.1"
"Bradley Marquez","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Stefon Diggs","MIN","15","WR","141","102","2","1021","4","9","1","1","72.3","9.82","7.24","10.01","4.29","","","","","","","","","","","","10","0","62","0","0","0","6.2","1.3","0","0","0","","","","","","","","","1","1","264.3","0.3","2.36"
"Rashad Greene Sr.","JAX","8","WR","9","6","0","60","0","0","0","1","66.7","7.22","6.67","10","2.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","12","0.11","2"
"Devin Funchess","CAR","14","WR","77","44","0","549","0","4","0","6","57.1","13.29","7.13","12.48","1.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","122.9","0.2","2.79"
"Phillip Dorsett","NE","16","WR","43","32","0","290","0","3","0","2","74.4","12.12","6.74","9.06","3.19","","","","","","","","","","","","4","0","29","0","0","0","7.25","2","0","0","0","","","","","","","","","0","0","81.9","0.21","2.28"
"Kevin White","CHI","9","WR","8","4","1","92","0","0","0","0","50","23.13","11.5","23","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.2","0.08","3.3"
"Allen Hurns","DAL","16","WR","33","20","1","295","0","2","0","1","60.6","14.52","8.94","14.75","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","61.5","0.14","3.08"
"Quincy Enunwa","NYJ","11","WR","62","38","2","449","0","1","0","6","61.3","8.23","7.24","11.82","7.47","","","","","","","","","","","","1","0","0","0","0","0","0","4","1","1","2","","","","","","","","","0","1","88.9","0.17","2.28"
"De'Anthony Thomas","KC","5","WR","5","3","0","29","0","1","0","0","60","14.6","5.8","9.67","10","","","","","","","","","","","","1","0","6","0","0","0","6","1","0","0","0","","","","","","","","","0","0","12.5","0.36","3.13"
