"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Da'Rick Rogers","IND","5","WR","22","14","1","192","1","2","1","2","63.6","10.27","8.73","13.71","8.29","","","","","","","","","","","","1","0","0","0","0","0","0","2","0","0","0","","","","","","","","","0","0","45.2","0.22","3.01"
"Darius Johnson","ATL","10","WR","40","22","0","210","0","1","0","4","55","8.85","5.25","9.55","4.05","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","49","0.12","2.23"
"Ryan Spadola","NYJ","3","WR","1","0","0","0","0","0","0","0","0","19","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jaron Brown","ARZ","16","WR","17","11","0","140","0","1","0","0","64.7","13.24","8.24","12.73","3.27","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","31","0.2","2.82"
"Greg Jenkins","OAK","1","WR","1","0","0","0","0","0","0","0","0","17","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marquess Wilson","CHI","9","WR","2","2","0","13","0","0","0","0","100","1.5","6.5","6.5","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.3","0.04","1.65"
"Kenny Stills","NO","16","WR","46","32","5","641","1","5","4","1","69.6","16.85","13.93","20.03","6.09","","","","","","","","","","","","3","0","10","0","0","0","3.33","0.67","0","0","0","","","","","","","","","0","0","127.1","0.18","3.63"
"Quinton Patton","SF","6","WR","6","3","0","34","0","0","0","1","50","10.5","5.67","11.33","2","","","","","","","","","","","","1","0","26","0","0","0","26","2","0","0","0","","","","","","","","","0","0","9","0.15","2.25"
"Terrance Williams","DAL","16","WR","72","44","3","736","1","5","2","4","61.1","14.17","10.22","16.73","4.89","","","","","","","","","","","","3","0","4","0","0","0","1.33","2.67","0","0","1","","","","","","","","","1","1","148","0.22","3.15"
"Justin Hunter","TEN","14","WR","41","18","4","354","2","4","2","5","43.9","18.44","8.63","19.67","5.11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","77.4","0.23","4.3"
"Cordarrelle Patterson","MIN","16","WR","72","45","1","469","1","4","1","5","62.5","8.56","6.51","10.42","6.36","","","","","","","","","","","","12","1","158","0","3","1","13.17","9.92","13","1.08","0","","","","","","","","","0","0","149.7","0.34","2.63"
"DeAndre Hopkins","HST","16","WR","91","52","2","802","1","2","0","1","57.1","14.23","8.81","15.42","3.38","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","144.2","0.14","2.77"
"Josh Cooper","CLV","4","WR","11","9","0","60","0","0","0","0","81.8","3.73","5.45","6.67","2.78","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15","0.15","1.67"
"Josh Gordon","CLV","14","WR","149","87","9","1646","7","9","5","10","58.4","14.33","11.05","18.92","7.28","","","","","","","","","","","","5","0","88","0","0","0","17.6","9.8","1","0.2","0","","","","","","","","","0","0","314.4","0.35","3.42"
"Josh Bellamy","WAS","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Rod Streater","OAK","16","WR","94","60","3","888","1","4","2","4","63.8","11.87","9.45","14.8","5.38","","","","","","","","","","","","2","0","17","0","0","0","8.5","4","0","0","1","","","","","","","","","0","0","174.5","0.23","2.81"
"Lance Lewis","WAS","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Junior Hemingway","KC","16","WR","19","13","0","125","0","2","0","0","68.4","10","6.58","9.62","2.31","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","37.5","0.12","2.88"
"Jeremy Ebert","JAX","5","WR","7","3","0","18","0","0","0","0","42.9","5.71","2.57","6","1.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.09","1.6"
"LaVon Brazill","IND","10","WR","25","12","0","161","0","2","0","1","48","12.48","6.44","13.42","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","40.1","0.17","3.34"
"Marvin Jones Jr.","CIN","16","WR","77","51","2","712","1","10","0","3","66.2","11.62","9.25","13.96","4.18","","","","","","","","","","","","8","0","65","0","0","0","8.13","3.13","3","0.38","0","","","","","","","","","0","0","188.7","0.35","3.2"
"Chris Givens","SL","16","WR","77","34","1","569","1","0","0","6","44.2","13.82","7.39","16.74","7.71","","","","","","","","","","","","3","0","8","0","0","0","2.67","1","0","0","1","","","","","","","","","0","0","91.7","0.12","2.48"
"T.J. Graham","BUF","16","WR","55","23","3","361","0","2","0","4","41.8","16.13","6.56","15.7","3.83","","","","","","","","","","","","4","0","14","0","0","0","3.5","2.5","0","0","1","","","","","","","","","0","0","72.5","0.09","2.69"
"Brian Quick","SL","16","WR","34","18","1","304","0","2","0","4","52.9","11.94","8.94","16.89","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","60.4","0.17","3.36"
"Kendall Wright","TEN","16","WR","134","94","1","1079","2","2","0","8","70.1","7.15","8.05","11.48","6.31","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","213.9","0.26","2.28"
"Kerry Taylor","JAX","8","WR","32","22","0","229","0","1","0","2","68.8","8.22","7.16","10.41","3.23","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","50.9","0.17","2.31"
"Doug Baldwin","SEA","16","WR","73","50","3","778","0","5","0","2","68.5","11.6","10.66","15.56","4.82","","","","","","","","","","","","2","0","6","0","0","0","3","0.5","0","0","0","","","","","","","","","0","1","158.4","0.21","3.05"
"Aldrick Robinson","WAS","16","WR","46","18","3","365","0","2","2","3","39.1","18.72","7.93","20.28","4.22","","","","","","","","","","","","3","0","-4","0","0","0","-1.33","1","0","0","0","","","","","","","","","0","1","66.1","0.16","3.15"
"Denarius Moore","OAK","13","WR","81","46","1","695","1","5","1","5","56.8","10.73","8.58","15.11","5.57","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","145.5","0.24","3.16"
"Clyde Gates","NYJ","6","WR","23","12","0","122","0","0","0","3","52.2","11.57","5.3","10.17","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.2","0.18","2.02"
"Kris Durham","DET","16","WR","82","38","1","490","0","2","0","10","46.3","12.35","5.98","12.89","3.42","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","1","99","0.1","2.61"
"Jerrel Jernigan","NYG","15","WR","42","29","0","329","0","2","0","1","69","11.19","7.83","11.34","4.72","","","","","","","","","","","","2","1","57","0","1","1","28.5","25.5","2","1","0","","","","","","","","","0","0","85.6","0.39","2.76"
