"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Brandon Zylstra","CAR","7","WR","12","8","1","106","0","0","0","1","66.7","13.5","8.83","13.25","1.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.6","0.27","2.33"
"Alexander Hollins","MIN","5","WR","4","2","0","46","0","0","0","1","50","19","11.5","23","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.6","0.09","3.3"
"Darious Williams","LA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keelan Cole","JAX","16","WR","36","24","2","361","0","3","0","1","66.7","12.08","10.03","15.04","4.38","","","","","","","","","","","","1","0","6","0","0","0","6","5","0","0","0","","","","","","","","","0","1","78.7","0.21","3.15"
"Gary Jennings","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"A.J. Brown","TEN","16","WR","84","52","8","1051","5","8","4","4","61.9","13.56","12.51","20.21","8.88","","","","","","","","","","","","3","1","60","0","1","1","20","17.33","1","0.33","1","","","","","","","","","0","0","217.1","0.32","3.95"
"Deebo Samuel","SF","15","WR","77","57","1","802","3","3","1","10","74","7.61","10.42","14.07","8.49","","","","","","","","","","","","14","0","159","0","3","0","11.36","4.93","7","0.5","2","","","","","","","","","1","1","189.1","0.27","2.66"
"D.J. Moore","CAR","15","WR","130","87","4","1175","4","4","2","5","66.9","11.74","9.04","13.51","4.51","","","","","","","","","","","","6","0","40","0","0","0","6.67","3.5","2","0.33","2","","","","","","","","","0","1","232.5","0.26","2.5"
"Calvin Ridley","ATL","13","WR","91","63","0","866","2","7","0","3","69.2","13.88","9.52","13.75","2.24","","","","","","","","","","","","2","0","34","0","0","0","17","3","0","0","0","","","","","","","","","1","2","195","0.27","3"
"Robert Foster","BUF","11","WR","17","3","0","64","0","0","0","0","17.6","25.88","3.76","21.33","11","","","","","","","","","","","","2","0","29","0","0","0","14.5","1.5","0","0","0","","","","","","","","","0","0","12.3","0.06","2.46"
"Terry McLaurin","WAS","14","WR","91","58","3","919","3","7","2","7","63.7","14.57","10.1","15.84","3.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","191.9","0.25","3.31"
"Tre'Quan Smith","NO","11","WR","25","18","0","234","0","5","0","1","72","9.64","9.36","13","6.28","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","71.4","0.16","3.97"
"Miles Boykin","BLT","16","WR","22","13","1","198","0","3","0","2","59.1","17.95","9","15.23","1.31","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","50.8","0.12","3.91"
"Courtland Sutton","DEN","16","WR","115","72","6","1112","2","6","1","3","62.6","12.31","9.67","15.44","5.01","","","","","","","","","","","","3","0","17","0","0","0","5.67","2.67","1","0.33","2","","","","","","","","","0","0","220.9","0.24","2.95"
"Antonio Callaway","CLV","4","WR","15","8","1","89","0","0","0","1","53.3","10.93","5.93","11.13","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.9","0.11","2.11"
"Jaleel Scott","BLT","1","WR","3","1","0","6","0","0","0","0","33.3","15.67","2","6","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.09","1.6"
"Jeff Smith","NYJ","1","WR","2","1","0","12","0","0","0","0","50","23","6","12","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.2","0.16","2.2"
"Travis Fulgham","DET","3","WR","3","0","0","0","0","0","0","2","0","20.33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Ventell Bryant","DAL","8","WR","1","1","0","15","0","1","0","0","100","18","15","15","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.5","0.37","8.5"
"D.K. Metcalf","SEA","16","WR","97","58","4","900","1","7","2","8","59.8","13.72","9.28","15.52","4.83","","","","","","","","","","","","2","0","11","0","0","0","5.5","3","2","1","3","","","","","","","","","1","2","191.1","0.21","3.19"
"James Washington","PIT","15","WR","77","44","4","735","1","3","1","5","57.1","15.91","9.55","16.7","4.59","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","135.5","0.21","3.08"
"D.J. Chark Jr.","JAX","15","WR","114","73","1","1008","3","8","0","2","64","12.32","8.84","13.81","4.29","","","","","","","","","","","","2","0","20","0","0","0","10","10","1","0.5","0","","","","","","","","","1","2","223.8","0.26","2.98"
"Steven Mitchell Jr.","HST","3","WR","6","2","0","37","0","0","0","0","33.3","17.5","6.17","18.5","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.7","0.07","2.85"
