"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Danario Alexander","SL","8","WR","33","20","2","306","0","1","0","2","60.6","13.15","9.27","15.3","5.95","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","56.6","0.27","2.83"
"Brandon Banks","WAS","10","WR","5","2","0","10","0","0","0","0","40","17.2","2","5","0","","","","","","","","","","","","2","0","6","0","0","0","3","1","0","0","0","","","","","","","","","0","0","3.6","0.17","0.9"
"Brandon James","IND","2","WR","11","6","0","40","0","0","0","2","54.5","7.73","3.64","6.67","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10","0.24","1.67"
"Verran Tucker","KC","10","WR","17","6","0","114","0","1","0","1","35.3","15.35","6.71","19","3.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.4","0.11","3.9"
"Stephen Williams","ARZ","10","WR","23","9","0","101","0","0","0","4","39.1","11","4.39","11.22","4.56","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19.1","0.11","2.12"
"Jeremy Horne","KC","1","WR","1","0","0","0","0","0","0","0","0","20","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Dorin Dickerson","HST","5","WR","1","0","0","0","0","0","0","0","0","31","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marc Mariani","TEN","5","WR","1","0","0","0","0","0","0","1","0","-1","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Antonio Brown","PIT","9","WR","19","16","0","167","0","0","0","0","84.2","6","8.79","10.44","6.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","32.7","0.49","2.04"
"Dezmon Briscoe","TB","2","WR","6","6","1","93","0","1","0","0","100","10.33","15.5","15.5","6.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","21.3","0.38","3.55"
