"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Josh Gordon","CLV","16","WR","89","50","3","805","1","5","3","4","56.2","13.61","9.04","16.1","6.3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","160.5","0.2","3.21"
"Damaris Johnson","PHI","13","WR","28","19","0","256","0","0","0","0","67.9","10.07","9.14","13.47","5.53","","","","","","","","","","","","3","0","12","0","0","0","4","1","0","0","0","","","","","","","","","0","0","45.8","0.2","2.08"
"Jermaine Kearse","SEA","7","WR","6","3","0","31","0","0","0","3","50","15.83","5.17","10.33","0.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.1","0.08","2.03"
"Jarrett Boykin","GB","10","WR","6","5","0","27","0","0","0","0","83.3","9","4.5","5.4","1.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.7","0.08","1.54"
"Toney Clemons","JAX","4","WR","9","3","0","41","0","0","0","1","33.3","13.78","4.56","13.67","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.1","0.06","2.37"
"Rishard Matthews","MIA","7","WR","18","11","0","151","0","0","0","0","61.1","12.44","8.39","13.73","2.82","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26.1","0.11","2.37"
"Devon Wylie","KC","5","WR","12","6","0","53","0","0","0","0","50","6.75","4.42","8.83","2.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.3","0.14","1.88"
"Travis Benjamin","CLV","14","WR","36","18","1","298","0","2","1","2","50","15.14","8.28","16.56","3.33","","","","","","","","","","","","6","0","66","0","0","0","11","9","0","0","1","","","","","","","","","0","0","66.4","0.22","2.77"
"DeVier Posey","HST","9","WR","13","6","0","87","0","0","0","2","46.2","11.46","6.69","14.5","5.5","","","","","","","","","","","","1","0","-3","0","0","0","-3","0","0","0","0","","","","","","","","","0","0","14.4","0.09","2.06"
"Ryan Broyles","DET","10","WR","30","22","1","310","1","2","0","2","73.3","9.37","10.33","14.09","7.18","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","65","0.23","2.95"
"Alshon Jeffery","CHI","10","WR","48","24","2","367","0","3","1","2","50","16.63","7.65","15.29","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","78.7","0.18","3.28"
"A.J. Jenkins","SF","3","WR","1","0","0","0","0","0","0","1","0","1","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kendall Wright","TEN","15","WR","95","64","0","626","0","4","0","7","67.4","6.45","6.59","9.78","5.16","","","","","","","","","","","","1","0","4","0","0","0","4","4","1","1","1","","","","","","","","","0","0","151","0.27","2.32"
"Justin Blackmon","JAX","16","WR","129","64","2","865","1","5","1","8","49.6","11.41","6.71","13.52","4.53","","","","","","","","","","","","2","0","23","0","0","0","11.5","1","0","0","1","","","","","","","","","1","2","182.8","0.19","2.77"
"Kevin Cone","ATL","7","WR","1","0","0","0","0","0","0","0","0","6","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Lestar Jean","HST","14","WR","11","6","2","151","0","1","1","1","54.5","21","13.73","25.17","13.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","27.1","0.15","4.52"
"Mike Preston","TEN","4","WR","7","5","0","59","0","0","0","0","71.4","18.14","8.43","11.8","1.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.9","0.18","2.18"
"Aldrick Robinson","WAS","15","WR","18","11","2","237","0","3","2","3","61.1","22.28","13.17","21.55","5.73","","","","","","","","","","","","1","0","14","0","0","0","14","7","0","0","0","","","","","","","","","0","0","54.1","0.25","4.51"
"Ryan Whalen","CIN","9","WR","12","7","0","53","0","0","0","0","58.3","10","4.42","7.57","1.86","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.3","0.13","1.76"
"Jeremy Kerley","NYJ","16","WR","88","56","5","827","1","2","0","4","63.6","9.92","9.4","14.77","5.45","","","","","","","","","","","","5","0","8","0","0","0","1.6","1.4","0","0","2","","","","","","","","","0","0","151.5","0.23","2.48"
"Denarius Moore","OAK","15","WR","110","51","2","741","1","7","0","9","46.4","13.53","6.74","14.53","5.2","","","","","","","","","","","","1","0","-5","0","0","0","-5","3","1","1","1","","","","","","","","","0","1","166.6","0.21","3.2"
"Cecil Shorts","JAX","14","WR","101","55","5","979","4","7","4","9","54.5","12.85","9.69","17.8","6.85","","","","","","","","","","","","1","0","-4","0","0","0","-4","6","2","2","1","","","","","","","","","0","0","194.5","0.3","3.47"
"Clyde Gates","NYJ","11","WR","33","16","1","224","0","0","0","1","48.5","12.39","6.79","14","1.13","","","","","","","","","","","","1","0","12","0","0","0","12","2","0","0","0","","","","","","","","","0","0","39.6","0.17","2.33"
"Kris Durham","DET","4","WR","20","8","0","125","0","1","0","1","40","15.3","6.25","15.63","2.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26.5","0.12","3.31"
