"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaac Whitney","OAK","2","WR","1","0","0","0","0","0","0","0","0","52","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Tanner Gentry","CHI","4","WR","5","3","0","35","0","0","0","1","60","10.8","7","11.67","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","6.5","0.04","2.17"
"Bug Howard","CLV","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Michael Clark","GB","2","WR","14","4","0","41","0","0","0","1","28.6","16.71","2.93","10.25","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.1","0.11","2.02"
"C.J. Board","CLV","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Krishawn Hogan","IND","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Chad Hansen","NYJ","15","WR","15","9","0","94","0","0","0","0","60","11.13","6.27","10.44","1.89","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.4","0.05","2.04"
"Josh Malone","CIN","11","WR","16","6","0","63","0","1","0","0","37.5","18.63","3.94","10.5","2.17","","","","","","","","","","","","2","0","2","0","0","0","1","1","0","0","0","","","","","","","","","0","0","18.5","0.07","2.31"
"Josh Reynolds","LA","15","WR","23","11","0","104","0","1","0","1","47.8","8.57","4.52","9.45","3.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","27.4","0.1","2.49"
"Dede Westbrook","JAX","7","WR","49","27","0","339","0","1","0","4","55.1","12.27","6.92","12.56","3.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","66.9","0.18","2.48"
"Amara Darboh","SEA","16","WR","13","8","0","71","0","0","0","0","61.5","12.77","5.46","8.88","1.88","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.1","0.08","1.89"
"Chad Williams","ARZ","6","WR","5","3","0","31","0","0","0","0","60","15","6.2","10.33","1.67","","","","","","","","","","","","2","0","33","0","0","0","16.5","1.5","1","0.5","0","","","","","","","","","0","0","9.4","0.1","1.88"
"Kenny Golladay","DET","11","WR","48","28","5","477","0","3","2","3","58.3","15.71","9.94","17.04","6.32","","","","","","","","","","","","1","0","9","0","0","0","9","1","0","0","0","","","","","","","","","0","1","94.6","0.2","3.26"
"Chris Godwin","TB","16","WR","54","34","1","525","1","1","0","2","63","13.24","9.72","15.44","5.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","92.5","0.21","2.72"
"JuJu Smith-Schuster","PIT","14","WR","77","58","6","917","3","7","1","2","75.3","10.13","11.91","15.81","6.79","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","191.7","0.27","3.31"
"Corey Davis","TEN","11","WR","64","34","0","375","0","0","0","2","53.1","11.53","5.86","11.03","3.44","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","71.5","0.14","2.1"
"Marquis Bundy","NYG","1","WR","3","0","0","0","0","0","0","0","0","6.33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Johnny Holton","OAK","16","WR","18","9","3","218","0","3","2","4","50","23.44","12.11","24.22","4.22","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","48.8","0.21","5.42"
"K.J. Brent","IND","5","WR","1","0","0","0","0","0","0","0","0","13","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Bryce Treggs","CLV","6","WR","17","5","0","79","0","0","0","1","29.4","17.47","4.65","15.8","0.6","","","","","","","","","","","","1","0","6","0","0","0","6","0","0","0","0","","","","","","","","","0","0","13.5","0.08","2.25"
"Darius Powe","NYG","1","WR","4","2","0","13","0","0","0","0","50","9","3.25","6.5","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.3","0.07","1.65"
"Rashawn Scott","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Andy Jones","DET","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Ed Eagan","NYG","2","WR","1","0","0","0","0","0","0","1","0","-2","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Hunter Sharp","NYG","3","WR","9","5","0","54","0","1","0","1","55.6","9.11","6","10.8","4.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.4","0.15","3.28"
"Marcus Johnson","PHI","10","WR","8","5","0","45","0","0","0","0","62.5","16.75","5.63","9","1.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","9.5","0.07","1.9"
"Charone Peake","NYJ","3","WR","1","1","0","3","0","0","0","0","100","2","3","3","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.3","0.05","1.3"
"Cody Core","CIN","8","WR","4","0","0","0","0","0","0","0","0","31","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Demarcus Robinson","KC","16","WR","37","21","0","212","0","0","0","3","56.8","10.78","5.73","10.1","2.29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","42.2","0.07","2.01"
"Michael Thomas","NO","16","WR","139","104","1","1245","2","5","0","2","74.8","9.96","8.96","11.97","4.32","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","258.5","0.3","2.49"
"Laquon Treadwell","MIN","16","WR","33","20","0","200","0","0","0","1","60.6","12.48","6.06","10","2.95","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","40","0.08","2"
"Josh Doctson","WAS","16","WR","72","35","2","502","0","6","2","3","48.6","15.13","6.97","14.34","3.74","","","","","","","","","","","","1","0","-14","0","0","0","-14","-3","0","0","0","","","","","","","","","0","0","119.8","0.16","3.33"
"Corey Coleman","CLV","9","WR","50","23","1","305","0","2","0","4","46","14.48","6.1","13.26","1.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","65.5","0.15","2.85"
"Kasen Williams","CLV","7","WR","17","9","0","84","0","0","0","1","52.9","12.41","4.94","9.33","1.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.4","0.13","1.93"
"Tyrell Williams","LAC","16","WR","68","43","3","728","2","4","3","6","63.2","14.26","10.71","16.93","7.84","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","139.8","0.16","3.25"
"Damiere Byrd","CAR","8","WR","16","10","0","105","0","2","0","1","62.5","8.81","6.56","10.5","6.3","","","","","","","","","","","","1","0","12","0","0","0","12","1","0","0","0","","","","","","","","","0","0","33.7","0.18","3.06"
"Larry Pinkard","JAX","3","WR","1","1","0","5","0","0","0","0","100","5","5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.17","1.5"
"Jordan Leslie","CLV","2","WR","1","1","0","26","0","0","0","0","100","21","26","26","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.6","0.14","3.6"
"Quan Bray","IND","6","WR","3","3","0","39","0","0","0","0","100","10","13","13","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.9","0.12","2.3"
"DeAndrew White","HST","2","WR","5","1","0","24","0","0","0","2","20","19","4.8","24","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.4","0.04","3.4"
"Geremy Davis","LAC","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kaelin Clay","CAR","13","WR","19","6","0","85","0","0","0","2","31.6","16.95","4.47","14.17","4","","","","","","","","","","","","3","0","27","0","0","0","9","3.33","1","0.33","0","","","","","","","","","0","0","17.2","0.07","1.91"
"Justin Hardy","ATL","16","WR","29","20","0","221","0","3","0","2","69","8.83","7.62","11.05","3.85","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","60.1","0.16","3"
"Chris Conley","KC","5","WR","16","11","0","175","0","0","0","0","68.8","14.88","10.94","15.91","4.36","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.5","0.1","2.59"
"DeVante Parker","MIA","13","WR","95","57","0","670","0","1","0","4","60","12.64","7.05","11.75","3.53","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","1","130","0.19","2.28"
"Bernard Reedy","NE","8","WR","2","2","0","21","0","0","0","0","100","7","10.5","10.5","3.5","","","","","","","","","","","","3","0","17","0","0","0","5.67","2.67","0","0","0","","","","","","","","","0","0","5.8","0.24","1.16"
"Matt Hazel","CLV","3","WR","1","1","0","1","0","0","0","0","100","0","1","1","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.1","0.1","1.1"
"T.J. Jones","DET","14","WR","45","30","0","399","0","1","0","3","66.7","11.84","8.87","13.3","2.43","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","75.9","0.19","2.53"
"Jared Abbrederis","DET","7","WR","7","3","0","44","0","0","0","0","42.9","7.57","6.29","14.67","9.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.06","2.47"
"Donte Moncrief","IND","12","WR","41","26","2","391","0","2","1","4","63.4","14.61","9.54","15.04","3.04","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","77.1","0.13","2.97"
"Jarvis Landry","MIA","16","WR","156","112","1","987","0","9","0","7","71.8","6.28","6.33","8.81","4.67","","","","","","","","","","","","1","0","-7","0","0","0","-7","0","0","0","3","","","","","","","","","0","0","264","0.28","2.34"
"Allen Robinson II","JAX","1","WR","1","1","0","17","0","0","0","0","100","16","17","17","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.7","0.9","2.7"
"Davante Adams","GB","14","WR","108","74","3","885","1","10","1","5","68.5","9.95","8.19","11.96","4.66","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","222.5","0.29","3.01"
