"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ricardo Lockette","SEA","2","WR","4","2","2","105","0","1","1","0","50","33.75","26.25","52.5","10","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.5","0.88","9.25"
"Jamar Newsome","JAX","2","WR","1","0","0","0","0","0","0","0","0","16","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Colin Jones","SF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Greg Little","CLV","16","WR","113","61","2","709","1","2","1","14","54","9.78","6.27","11.62","4.05","","","","","","","","","","","","3","0","15","0","0","0","5","1.67","0","0","0","","","","","","","","","0","0","145.4","0.15","2.27"
"Torrey Smith","BLT","16","WR","90","50","4","841","2","7","2","7","55.6","19.03","9.34","16.82","4.84","","","","","","","","","","","","4","0","39","0","0","0","9.75","1.5","0","0","1","","","","","","","","","0","0","180","0.2","3.33"
"Titus Young","DET","16","WR","80","48","4","607","0","6","2","7","60","13.4","7.59","12.65","2.96","","","","","","","","","","","","2","0","15","0","0","0","7.5","0","0","0","0","","","","","","","","","1","1","146.2","0.21","2.92"
"Julio Jones","ATL","13","WR","91","54","7","959","5","8","4","8","59.3","13.54","10.54","17.76","7.8","","","","","","","","","","","","6","0","56","0","0","0","9.33","2.67","1","0.17","1","","","","","","","","","0","0","203.5","0.29","3.39"
"Richard Goodman","SD","9","WR","2","0","0","0","0","0","0","0","0","16.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Dominique Curry","SL","5","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Donald Jones","BUF","8","WR","45","23","1","231","1","1","0","2","51.1","12.53","5.13","10.04","3.04","","","","","","","","","","","","1","0","2","0","0","0","2","0","0","0","0","","","","","","","","","0","0","52.3","0.14","2.18"
