"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Rod Smith","DAL","5","RB","1","1","0","6","0","0","0","0","100","1","6","6","5","","","","","","","","","","","","2","0","5","0","0","0","2.5","1.5","1","0.5","0","","","","","","","","","0","0","2.1","0.08","0.7"
"Thomas Rawls","SEA","13","RB","11","9","0","76","0","1","0","2","81.8","-0.91","6.91","8.44","8.44","","","","","","","","","","","","147","1","830","4","4","1","5.65","3.12","26","0.18","1","","","","","","","","","0","1","129.6","0.45","0.83"
"Brandon Wegher","CAR","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Alonzo Harris","GB","3","RB","1","0","0","0","0","0","0","1","0","-4","0","0","0","","","","","","","","","","","","4","0","19","0","0","0","4.75","1.5","0","0","0","","","","","","","","","0","0","1.9","0.27","0.47"
"John Crockett","GB","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","9","0","21","0","0","0","2.33","1.67","2","0.22","0","","","","","","","","","0","0","2.1","0.13","0.23"
"Malcolm Brown","SL","1","RB","1","1","0","-2","0","0","0","0","100","-6","-2","-2","4","","","","","","","","","","","","4","0","17","0","0","0","4.25","2.75","1","0.25","0","","","","","","","","","0","0","2.5","0.28","0.5"
"Terrence Magee","BLT","1","RB","1","1","0","2","0","0","0","0","100","1","2","2","1","","","","","","","","","","","","2","0","5","0","0","0","2.5","1.5","0","0","0","","","","","","","","","0","0","1.7","0.15","0.57"
"Akeem Hunt","HST","7","RB","9","6","0","39","0","0","0","0","66.7","1.33","4.33","6.5","8.83","","","","","","","","","","","","17","0","96","0","0","0","5.65","1.71","3","0.18","0","","","","","","","","","0","0","19.5","0.38","0.85"
"Corey Grant","JAX","6","RB","3","2","0","13","0","0","0","1","66.7","6.67","4.33","6.5","7.5","","","","","","","","","","","","6","0","2","0","0","0","0.33","-0.33","1","0.17","1","","","","","","","","","0","0","3.5","0.19","0.44"
"Raheem Mostert","BLT","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Terron Ward","ATL","13","RB","12","9","0","73","0","0","0","0","75","2.08","6.08","8.11","6.89","","","","","","","","","","","","29","0","95","0","1","0","3.28","1.48","4","0.14","0","","","","","","","","","0","0","31.8","0.28","0.84"
"Zach Zenner","DET","4","RB","2","2","0","11","0","0","0","0","100","-0.5","5.5","5.5","6","","","","","","","","","","","","17","0","60","0","0","0","3.53","1.65","2","0.12","0","","","","","","","","","0","0","9.1","0.2","0.48"
"Trey Williams","IND","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2","0","12","0","0","0","6","1.5","0","0","0","","","","","","","","","0","0","1.2","0.6","0.6"
"Tyler Varga","IND","3","RB","1","1","0","18","0","0","0","0","100","0","18","18","18","","","","","","","","","","","","1","0","2","0","0","0","2","0","0","0","0","","","","","","","","","0","0","3","0.08","1.5"
"Joey Iosefa","NE","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","15","0","51","0","0","0","3.4","2.8","3","0.2","0","","","","","","","","","0","0","5.1","0.22","0.34"
"Marcus Murphy","NO","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0","0"
"Josh Robinson","IND","5","RB","6","6","0","33","0","0","0","0","100","-1","5.5","5.5","6.5","","","","","","","","","","","","17","0","39","0","0","0","2.29","1.41","2","0.12","1","","","","","","","","","0","0","13.2","0.23","0.57"
"Cameron Artis-Payne","CAR","7","RB","5","5","0","58","0","0","0","0","100","-0.8","11.6","11.6","12.4","","","","","","","","","","","","45","0","183","0","1","0","4.07","2.22","7","0.16","0","","","","","","","","","0","0","35.1","0.31","0.7"
"Karlos Williams","BUF","11","RB","12","11","0","96","0","2","0","1","91.7","4.67","8","8.73","4.18","","","","","","","","","","","","93","1","517","2","7","1","5.56","2.94","19","0.2","2","","","","","","","","","0","0","126.3","0.52","1.21"
"Jay Ajayi","MIA","9","RB","11","7","0","90","0","0","0","2","63.6","1.27","8.18","12.86","12.14","","","","","","","","","","","","49","0","187","0","1","0","3.82","3.35","12","0.24","0","","","","","","","","","1","1","40.7","0.25","0.73"
"David Cobb","TEN","7","RB","2","1","0","-2","0","0","0","1","50","-2.5","-1","-2","3","","","","","","","","","","","","52","0","146","0","1","0","2.81","1.92","4","0.08","0","","","","","","","","","0","0","21.4","0.18","0.4"
"Mike Davis","SF","6","RB","12","7","0","38","0","0","0","0","58.3","0.5","3.17","5.43","5.71","","","","","","","","","","","","35","0","58","0","0","0","1.66","1.26","6","0.17","0","","","","","","","","","0","0","16.6","0.13","0.4"
"Javorius Allen","BLT","16","RB","55","45","1","343","0","2","1","2","81.8","1.09","6.24","7.62","7.11","","","","","","","","","","","","137","1","514","0","1","0","3.75","2.04","12","0.09","2","","","","","","","","","0","0","148.7","0.38","0.82"
"Jeremy Langford","CHI","15","RB","40","22","1","279","1","1","1","8","55","4.88","6.97","12.68","10.64","","","","","","","","","","","","148","0","537","0","6","0","3.63","1.76","7","0.05","0","","","","","","","","","0","2","145.6","0.37","0.86"
"Matt Jones","WAS","13","RB","23","19","2","304","1","1","1","3","82.6","1.7","13.22","16","13.89","","","","","","","","","","","","144","0","490","1","3","0","3.4","2.17","21","0.15","5","","","","","","","","","0","0","122.4","0.36","0.75"
"David Johnson","ARZ","16","RB","52","36","2","457","0","4","1","4","69.2","4.56","8.79","12.69","9.86","","","","","","","","","","","","125","1","581","1","8","1","4.65","2.69","18","0.14","3","","","","","","","","","0","0","211.8","0.52","1.32"
"Duke Johnson Jr.","CLV","16","RB","70","61","1","534","0","2","0","3","87.1","1.16","7.63","8.75","7.97","","","","","","","","","","","","104","0","379","0","0","0","3.64","2.34","17","0.16","1","","","","","","","","","0","0","164.3","0.29","1"
"Tevin Coleman","ATL","12","RB","10","2","0","14","0","0","0","3","20","4.1","1.4","7","6","","","","","","","","","","","","87","1","392","1","1","0","4.51","1.97","6","0.07","3","","","","","","","","","0","0","48.6","0.21","0.55"
"Ameer Abdullah","DET","16","RB","35","25","0","183","0","1","0","1","71.4","0.29","5.23","7.32","8.28","","","","","","","","","","","","143","0","597","0","2","0","4.17","1.97","12","0.08","4","","","","","","","","","0","0","121","0.34","0.72"
"T.J. Yeldon","JAX","12","RB","43","36","1","279","0","1","0","2","83.7","0.35","6.49","7.75","8.22","","","","","","","","","","","","182","1","740","2","2","0","4.07","2.32","34","0.19","0","","","","","","","","","0","0","155.9","0.25","0.72"
"Melvin Gordon III","SD","14","RB","34","33","0","192","0","0","0","1","97.1","-1.91","5.65","5.82","7.85","","","","","","","","","","","","184","0","641","0","0","0","3.48","2.22","33","0.18","7","","","","","","","","","0","0","116.3","0.29","0.54"
"Todd Gurley II","SL","13","RB","26","21","0","188","0","0","0","0","80.8","-0.62","7.23","8.95","9.57","","","","","","","","","","","","229","5","1106","5","10","1","4.83","2.87","42","0.18","3","","","","","","","","","0","1","210.4","0.46","0.84"
"Glenn Winston","CLV","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","-8","0","0","0","-8","-7","0","0","1","","","","","","","","","0","0","-0.8","-0.1","-0.8"
"Isaiah Crowell","CLV","16","RB","21","19","1","182","0","1","0","1","90.5","-1.9","8.67","9.58","11.58","","","","","","","","","","","","185","2","706","1","4","0","3.82","2.3","21","0.11","0","","","","","","","","","0","0","137.8","0.29","0.68"
"Branden Oliver","SD","6","RB","15","13","0","112","0","0","0","0","86.7","-2","7.47","8.62","10.77","","","","","","","","","","","","31","0","108","0","0","0","3.48","2.55","4","0.13","0","","","","","","","","","0","0","35","0.38","0.8"
"Fitzgerald Toussaint","PIT","5","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","18","0","42","0","0","0","2.33","1.94","3","0.17","0","","","","","","","","","0","1","4.2","0.09","0.23"
"Damien Williams","MIA","16","RB","27","21","0","142","0","1","0","0","77.8","3.85","5.26","6.76","4.57","","","","","","","","","","","","16","0","59","0","0","0","3.69","2.31","5","0.31","1","","","","","","","","","0","0","47.1","0.3","1.27"
"Orleans Darkwa","NYG","9","RB","3","3","0","31","0","0","0","0","100","0.67","10.33","10.33","9.67","","","","","","","","","","","","36","0","153","0","1","0","4.25","2.69","8","0.22","0","","","","","","","","","0","0","27.4","0.32","0.7"
"Zurlon Tipton","IND","6","RB","7","5","0","57","0","0","0","1","71.4","3.86","8.14","11.4","9.8","","","","","","","","","","","","5","0","20","0","0","0","4","1","0","0","0","","","","","","","","","0","0","12.7","0.22","1.27"
"Charcandrick West","KC","13","RB","31","20","2","214","0","1","1","3","64.5","-0.84","6.9","10.7","12.1","","","","","","","","","","","","160","0","634","1","4","0","3.96","2.14","20","0.13","1","","","","","","","","","0","0","134.8","0.27","0.75"
"Antonio Andrews","TEN","14","RB","27","21","0","174","0","0","0","1","77.8","0.93","6.44","8.29","8.57","","","","","","","","","","","","143","0","520","0","3","0","3.64","2.45","18","0.13","1","","","","","","","","","0","0","108.4","0.26","0.66"
"Alfred Blue","HST","14","RB","16","15","0","109","0","1","0","0","93.8","2.56","6.81","7.27","4.67","","","","","","","","","","","","183","1","698","3","2","0","3.81","2.16","20","0.11","2","","","","","","","","","0","0","113.7","0.3","0.57"
"Lorenzo Taliaferro","BLT","3","RB","5","5","0","29","0","0","0","0","100","0","5.8","5.8","5.8","","","","","","","","","","","","13","0","47","0","1","0","3.62","2.31","2","0.15","0","","","","","","","","","0","0","18.6","0.36","1.03"
