"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Tanner McEvoy","SEA","14","WR","11","9","1","140","0","2","1","1","81.8","12","12.73","15.56","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","35","0.27","3.89"
"Jalin Marshall","NYJ","10","WR","21","14","0","162","0","2","0","1","66.7","9.24","7.71","11.57","3.29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","42.2","0.29","3.01"
"Robby Anderson","NYJ","16","WR","75","42","4","587","0","2","2","6","56","16.93","7.83","13.98","2.81","","","","","","","","","","","","3","0","42","0","0","0","14","2","0","0","1","","","","","","","","","0","0","116.9","0.16","2.6"
"Roger Lewis Jr.","NYG","11","WR","19","7","0","97","0","2","0","2","36.8","19.26","5.11","13.86","0.29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.7","0.14","4.1"
"Paul McRoberts","LA","2","WR","1","1","0","6","0","0","0","0","100","6","6","6","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.06","1.6"
"Wendall Williams","HST","2","WR","7","4","0","75","0","0","0","0","57.1","14.71","10.71","18.75","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.5","0.52","2.88"
"Alex Erickson","CIN","12","WR","8","6","0","71","0","0","0","0","75","10.88","8.88","11.83","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.1","0.17","2.18"
"Maurice Harris","WAS","10","WR","11","8","0","66","0","0","0","0","72.7","9.18","6","8.25","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.6","0.11","1.82"
"Tevaun Smith","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Daniel Braverman","CHI","3","WR","2","0","0","0","0","0","0","0","0","8.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jakeem Grant","MIA","8","WR","1","0","0","0","0","0","0","1","0","-3","0","0","0","","","","","","","","","","","","1","0","1","0","0","0","1","2","0","0","0","","","","","","","","","0","0","0.1","0.01","0.1"
"Rashard Higgins","CLV","15","WR","12","6","0","77","0","0","0","0","50","11.08","6.42","12.83","5.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.7","0.08","2.28"
"Tyreek Hill","KC","16","WR","81","61","2","593","0","6","0","4","75.3","7.85","7.32","9.72","4.56","","","","","","","","","","","","24","2","267","0","3","2","11.13","4.13","6","0.25","1","","","","","","","","","0","0","201","0.49","2.36"
"Pharoh Cooper","LA","10","WR","19","14","0","106","0","0","0","2","73.7","4.05","5.58","7.57","5.14","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.6","0.12","1.76"
"Tyler Boyd","CIN","16","WR","76","54","0","603","0","1","0","3","71.1","8.96","7.93","11.17","3.94","","","","","","","","","","","","4","0","58","0","0","0","14.5","4","1","0.25","1","","","","","","","","","0","0","126.1","0.17","2.17"
"Michael Thomas","NO","15","WR","119","92","1","1137","3","9","0","4","77.3","8.11","9.55","12.36","5.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","259.7","0.3","2.82"
"Laquon Treadwell","MIN","7","WR","3","1","0","15","0","0","0","0","33.3","21","5","15","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.5","0.03","2.5"
"Josh Doctson","WAS","2","WR","6","2","1","66","0","0","0","0","33.3","22.33","11","33","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.6","0.28","4.3"
"Corey Coleman","CLV","10","WR","62","33","2","413","1","3","0","4","53.2","15.52","6.66","12.52","3.03","","","","","","","","","","","","2","0","10","0","0","0","5","3","0","0","0","","","","","","","","","0","0","93.3","0.17","2.67"
"Isaac Fruechte","MIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Adam Humphries","TB","15","WR","77","55","2","622","1","2","1","3","71.4","5.81","8.08","11.31","7.15","","","","","","","","","","","","5","0","18","0","0","0","3.6","2","0","0","0","","","","","","","","","1","1","131","0.2","2.18"
"Donteea Dye Jr.","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cameron Meredith","CHI","14","WR","95","66","1","888","4","4","1","8","69.5","9.92","9.35","13.45","4.45","","","","","","","","","","","","1","0","6","0","0","0","6","0","0","0","3","","","","","","","","","0","0","179.4","0.26","2.68"
"Bradley Marquez","LA","13","WR","7","3","0","37","0","0","0","1","42.9","8","5.29","12.33","7.33","","","","","","","","","","","","1","0","2","0","0","0","2","1","0","0","0","","","","","","","","","0","0","6.9","0.07","1.73"
"Eli Rogers","PIT","13","WR","65","48","0","594","1","3","0","3","73.8","9.65","9.14","12.38","4.33","","","","","","","","","","","","1","0","6","0","0","0","6","1","0","0","0","","","","","","","","","0","0","126","0.23","2.57"
"Lucky Whitehead","DAL","15","WR","3","3","0","48","0","0","0","0","100","5","16","16","11","","","","","","","","","","","","10","0","82","0","0","0","8.2","3.3","3","0.3","1","","","","","","","","","0","0","16","0.11","1.23"
"Jordan Taylor","DEN","16","WR","24","16","0","209","0","2","0","1","66.7","11.5","8.71","13.06","4.94","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","48.9","0.18","3.06"
"Quan Bray","IND","4","WR","4","3","0","36","0","0","0","0","75","6.25","9","12","4.67","","","","","","","","","","","","1","0","7","0","0","0","7","1","0","0","0","","","","","","","","","0","0","7.3","0.21","1.82"
"Dezmin Lewis","BUF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Geremy Davis","SD","3","WR","1","0","0","0","0","0","0","0","0","3","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"DeAndre Smelter","SF","2","WR","1","1","0","23","0","0","0","0","100","13","23","23","10","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.3","0.06","3.3"
"Vince Mayle","DAL","6","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Sammie Coates","PIT","14","WR","49","21","6","435","1","2","1","7","42.9","21.55","8.88","20.71","5.48","","","","","","","","","","","","4","0","14","0","0","0","3.5","7.5","2","0.5","0","","","","","","","","","0","0","77.9","0.25","3.12"
"Tyler Lockett","SEA","15","WR","62","41","3","597","1","1","1","3","66.1","11.31","9.63","14.56","5.44","","","","","","","","","","","","6","1","114","0","1","1","19","4.17","2","0.33","0","","","","","","","","","0","0","124.1","0.22","2.64"
"Devin Funchess","CAR","15","WR","54","23","1","371","0","4","0","6","42.6","14.07","6.87","16.13","4.7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","84.1","0.17","3.66"
"Devin Smith","NYJ","3","WR","3","1","0","20","0","0","0","1","33.3","18","6.67","20","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.09","3"
"Phillip Dorsett","IND","15","WR","56","33","4","528","0","2","2","4","58.9","13.5","9.43","16","4.58","","","","","","","","","","","","2","0","10","0","0","0","5","1.5","0","0","1","","","","","","","","","0","0","98.8","0.12","2.82"
"Nelson Agholor","PHI","15","WR","62","36","1","365","0","2","1","7","58.1","11.15","5.89","10.14","3.03","","","","","","","","","","","","5","0","14","0","0","0","2.8","2","1","0.2","1","","","","","","","","","1","1","85.9","0.1","2.1"
"Isaiah Burse","SD","4","WR","3","0","0","0","0","0","0","0","0","20.67","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Freddie Martino","TB","13","WR","10","8","1","142","0","1","1","0","80","13.2","14.2","17.75","3.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.2","0.16","3.52"
"Jeremy Butler","SD","4","WR","2","2","0","11","0","0","0","0","100","5","5.5","5.5","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.1","0.17","1.55"
"Seth Roberts","OAK","16","WR","75","38","1","397","0","5","1","9","50.7","9.41","5.29","10.45","5.42","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","2","107.7","0.14","2.83"
"Taylor Gabriel","ATL","13","WR","46","35","3","579","0","6","3","1","76.1","11.46","12.59","16.54","8.06","","","","","","","","","","","","4","0","51","0","1","0","12.75","1","0","0","0","","","","","","","","","0","0","140","0.4","3.59"
"Bennie Fowler","DEN","13","WR","21","11","1","145","0","2","1","2","52.4","11.52","6.9","13.18","6.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","37.5","0.16","3.41"
"James Wright","CIN","12","WR","19","13","0","106","0","0","0","1","68.4","10.84","5.58","8.15","2.92","","","","","","","","","","","","2","0","-6","0","0","0","-3","0","0","0","0","","","","","","","","","0","0","23","0.12","1.53"
"Jeff Janis","GB","14","WR","17","11","0","93","0","1","0","1","64.7","10.71","5.47","8.45","3.09","","","","","","","","","","","","2","0","38","0","1","0","19","2.5","0","0","0","","","","","","","","","0","0","36.1","0.15","2.78"
"Michael Campanaro","BLT","3","WR","1","0","0","0","0","0","0","1","0","-2","0","0","0","","","","","","","","","","","","3","0","72","0","0","0","24","9","0","0","0","","","","","","","","","0","0","7.2","0.42","2.4"
"Walter Powell","BUF","9","WR","23","14","0","142","0","0","0","3","60.9","11.43","6.17","10.14","2.93","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.2","0.1","2.01"
"T.J. Jones","DET","3","WR","13","5","0","93","0","0","0","2","38.5","12.46","7.15","18.6","5.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","14.3","0.28","2.86"
"Ryan Grant","WAS","16","WR","18","9","0","76","0","0","0","1","50","11.28","4.22","8.44","2.89","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.6","0.06","1.84"
"De'Anthony Thomas","KC","11","WR","9","7","0","35","0","0","0","1","77.8","3","3.89","5","4.43","","","","","","","","","","","","4","0","29","0","0","0","7.25","0.75","0","0","0","","","","","","","","","0","0","13.4","0.17","1.22"
"Allen Robinson II","JAX","16","WR","144","73","1","883","2","6","0","9","50.7","13.69","6.13","12.1","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","1","1","197.3","0.19","2.7"
"Davante Adams","GB","16","WR","118","75","4","997","4","12","1","9","63.6","11.91","8.45","13.29","5.43","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","1","2","246.7","0.27","3.29"
"Jordan Matthews","PHI","14","WR","109","73","1","804","1","3","0","7","67","10.44","7.38","11.01","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","2","171.4","0.2","2.35"
"Kelvin Benjamin","CAR","16","WR","112","63","3","941","1","7","1","2","56.3","12.6","8.4","14.94","3.73","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","199.1","0.25","3.16"
"Odell Beckham Jr.","NYG","16","WR","161","101","6","1367","4","10","3","8","62.7","11.32","8.49","13.53","5.27","","","","","","","","","","","","1","0","9","0","0","0","9","1","0","0","2","","","","","","","","","0","0","298.6","0.3","2.93"
"Sammy Watkins","BUF","8","WR","50","28","2","430","1","2","0","3","56","14.64","8.6","15.36","1.71","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","83","0.22","2.96"
"Russell Shepard","TB","14","WR","39","23","0","341","0","2","0","1","59","14.79","8.74","14.83","3.43","","","","","","","","","","","","1","0","9","0","0","0","9","4","0","0","0","","","","","","","","","0","0","70","0.16","2.92"
"Rashad Ross","WAS","5","WR","1","1","0","8","0","0","0","0","100","8","8","8","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.8","0.09","1.8"
"Marquess Wilson","CHI","3","WR","16","9","0","160","1","1","0","2","56.3","18.25","10","17.78","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","31","0.39","3.44"
"Charles Johnson","MIN","16","WR","37","20","1","232","0","0","0","1","54.1","13.08","6.27","11.6","3.55","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","43.2","0.11","2.16"
"Brice Butler","DAL","16","WR","30","16","1","219","0","3","0","1","53.3","15.57","7.3","13.69","1.19","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","55.9","0.13","3.49"
"Tavarres King","NYG","7","WR","4","2","1","50","0","0","0","0","50","29.25","12.5","25","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7","0.09","3.5"
"Kenny Stills","MIA","16","WR","75","42","4","726","1","9","4","3","56","15.43","9.68","17.29","4.45","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","168.6","0.21","4.01"
"Quinton Patton","SF","14","WR","59","37","1","408","1","0","0","4","62.7","9.34","6.92","11.03","5.38","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","77.8","0.11","2.1"
"Marquise Goodwin","BUF","15","WR","63","29","2","431","1","3","2","3","46","15.87","6.84","14.86","3.28","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","90.1","0.14","3.11"
"Keenan Allen","SD","1","WR","7","6","0","63","0","0","0","0","85.7","6.43","9","10.5","3.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.3","0.46","2.05"
"Terrance Williams","DAL","16","WR","61","44","2","594","0","4","0","1","72.1","12.21","9.74","13.5","3.73","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","127.4","0.17","2.9"
"DeAndre Hopkins","HST","16","WR","138","78","2","954","2","4","1","4","56.5","12.25","6.91","12.23","3.21","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","197.4","0.18","2.53"
"Deonte Thompson","CHI","15","WR","36","22","0","249","1","2","0","1","61.1","14.44","6.92","11.32","1.95","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","58.9","0.18","2.68"
"Brittan Golden","ARZ","9","WR","14","8","0","82","0","1","0","1","57.1","11.86","5.86","10.25","1.88","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","22.2","0.14","2.77"
"Griff Whalen","SD","8","WR","4","2","0","22","0","0","0","0","50","1.75","5.5","11","9.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.2","0.03","2.1"
"Rishard Matthews","TEN","16","WR","104","65","4","945","3","9","0","1","62.5","13.88","9.09","14.54","3.35","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","1","213.5","0.27","3.28"
"Jarius Wright","MIN","8","WR","14","11","0","67","0","1","0","1","78.6","4.36","4.79","6.09","3.55","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.7","0.2","2.15"
"T.Y. Hilton","IND","16","WR","143","91","2","1448","6","6","1","8","63.6","13.41","10.13","15.91","3.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","2","271.8","0.29","2.99"
"Alshon Jeffery","CHI","12","WR","92","52","2","821","1","2","0","5","56.5","14.46","8.92","15.79","3.69","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","146.1","0.21","2.81"
"Kamar Aiken","BLT","16","WR","46","29","0","328","0","1","0","2","63","12.2","7.13","11.31","3.41","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","67.8","0.11","2.34"
"Dontrelle Inman","SD","16","WR","89","58","2","810","2","4","2","4","65.2","11.43","9.1","13.97","3.81","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","163","0.17","2.81"
"Chris Hogan","NE","15","WR","54","38","4","680","2","4","2","1","70.4","14.02","12.59","17.89","6.13","","","","","","","","","","","","3","0","9","0","0","0","3","2.33","0","0","1","","","","","","","","","0","0","130.9","0.16","3.19"
"Aldrick Robinson","ATL","16","WR","31","20","1","323","1","2","0","0","64.5","12.35","10.42","16.15","4.05","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","64.3","0.21","3.21"
"Dwayne Harris","NYG","14","WR","1","1","0","13","0","1","0","0","100","19","13","13","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.3","0.14","8.3"
"Cecil Shorts","TB","9","WR","24","11","0","152","0","0","0","1","45.8","16.33","6.33","13.82","2.18","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26.2","0.1","2.38"
"Julio Jones","ATL","14","WR","125","83","5","1409","7","6","1","6","66.4","14.36","11.27","16.98","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","259.9","0.37","3.13"
"A.J. Green","CIN","10","WR","95","66","6","964","4","4","2","4","69.5","13.05","10.15","14.61","4.08","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","186.4","0.33","2.82"
"Andrew Hawkins","CLV","16","WR","50","33","0","324","0","3","0","2","66","8","6.48","9.82","4.15","","","","","","","","","","","","2","0","0","0","0","0","0","1.5","0","0","0","","","","","","","","","0","0","83.4","0.13","2.38"
"Marc Mariani","TEN","4","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","15","0","0","0","15","3","0","0","0","","","","","","","","","0","0","1.5","0.13","1.5"
"Antonio Brown","PIT","15","WR","151","106","3","1284","4","12","0","2","70.2","11.1","8.5","12.11","3.86","","","","","","","","","","","","3","0","9","0","0","0","3","0","0","0","0","","","","","","","","","0","3","307.3","0.32","2.82"
"Golden Tate","DET","16","WR","131","91","4","1077","3","4","1","7","69.5","8.38","8.22","11.84","6.85","","","","","","","","","","","","10","0","4","0","0","0","0.4","1.5","3","0.3","2","","","","","","","","","1","1","223.1","0.26","2.21"
"Arrelious Benn","JAX","13","WR","10","5","1","116","0","1","1","2","50","11.8","11.6","23.2","10.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.6","0.23","4.52"
"Dez Bryant","DAL","13","WR","89","50","3","796","3","8","1","2","56.2","15.24","8.94","15.92","2.88","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","2","177.6","0.26","3.55"
"Demaryius Thomas","DEN","16","WR","141","90","3","1083","2","5","1","7","63.8","10.81","7.68","12.03","3.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","1","1","228.3","0.26","2.54"
"Kenny Britt","LA","15","WR","109","68","4","1002","2","5","0","4","62.4","12.31","9.19","14.74","4.37","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","198.2","0.25","2.91"
"Percy Harvin","BUF","2","WR","3","2","0","6","0","0","0","0","66.7","2.33","2","3","2","","","","","","","","","","","","1","0","11","0","0","0","11","4","0","0","0","","","","","","","","","0","0","3.7","0.06","1.23"
"Jeremy Maclin","KC","12","WR","72","44","1","536","0","2","0","6","61.1","11.83","7.44","12.18","3.05","","","","","","","","","","","","1","0","-1","0","0","0","-1","0","0","0","0","","","","","","","","","0","0","109.5","0.17","2.43"
